x-value, y-value
3.83328,1.29906
3.83428,1.29926
3.83528,1.29946
3.83628,1.29966
3.83728,1.29986
3.83828,1.30006
3.83928,1.30026
3.84028,1.30046
3.84128,1.30066
3.84228,1.30086
3.84328,1.30106
3.84428,1.30126
3.84528,1.30146
3.84628,1.30166
3.84728,1.30186
3.84828,1.30206
3.84928,1.30226
3.85028,1.30246
3.85128,1.30266
3.85228,1.30286
3.85328,1.30306
3.85428,1.30326
3.85528,1.30346
3.85628,1.30365
3.85728,1.30385
3.85828,1.30405
3.85928,1.30425
3.86028,1.30445
3.86128,1.30465
3.86228,1.30485
3.86328,1.30505
3.86428,1.30524
3.86528,1.30544
3.86628,1.30564
3.86728,1.30584
3.86828,1.30604
3.86928,1.30623
3.87028,1.30643
3.87128,1.30663
3.87228,1.30683
3.87328,1.30702
3.87428,1.30722
3.87528,1.30742
3.87628,1.30762
3.87728,1.30781
3.87828,1.30801
3.87928,1.30821
3.88028,1.30841
3.88128,1.3086
3.88228,1.3088
3.88328,1.309
3.88428,1.30919
3.88528,1.30939
3.88628,1.30959
3.88728,1.30978
3.88828,1.30998
3.88928,1.31018
3.89028,1.31037
3.89128,1.31057
3.89228,1.31076
3.89328,1.31096
3.89428,1.31116
3.89528,1.31135
3.89628,1.31155
3.89728,1.31174
3.89828,1.31194
3.89928,1.31213
3.90028,1.31233
3.90128,1.31253
3.90228,1.31272
3.90328,1.31292
3.90428,1.31311
3.90528,1.31331
3.90628,1.3135
3.90728,1.3137
3.90828,1.31389
3.90928,1.31409
3.91028,1.31428
3.91128,1.31447
3.91228,1.31467
3.91328,1.31486
3.91428,1.31506
3.91528,1.31525
3.91628,1.31545
3.91728,1.31564
3.91828,1.31583
3.91928,1.31603
3.92028,1.31622
3.92128,1.31642
3.92228,1.31661
3.92328,1.3168
3.92428,1.317
3.92528,1.31719
3.92628,1.31738
3.92728,1.31758
3.92828,1.31777
3.92928,1.31796
3.93028,1.31816
3.93128,1.31835
3.93228,1.31854
3.93328,1.31873
3.93428,1.31893
3.93528,1.31912
3.93628,1.31931
3.93728,1.31951
3.93828,1.3197
3.93928,1.31989
3.94028,1.32008
3.94128,1.32028
3.94228,1.32047
3.94328,1.32066
3.94428,1.32085
3.94528,1.32104
3.94628,1.32124
3.94728,1.32143
3.94828,1.32162
3.94928,1.32181
3.95028,1.322
3.95128,1.32219
3.95228,1.32238
3.95328,1.32258
3.95428,1.32277
3.95528,1.32296
3.95628,1.32315
3.95728,1.32334
3.95828,1.32353
3.95928,1.32372
3.96028,1.32391
3.96128,1.3241
3.96228,1.32429
3.96328,1.32448
3.96428,1.32468
3.96528,1.32487
3.96628,1.32506
3.96728,1.32525
3.96828,1.32544
3.96928,1.32563
3.97028,1.32582
3.97128,1.32601
3.97228,1.3262
3.97328,1.32639
3.97428,1.32658
3.97528,1.32677
3.97628,1.32696
3.97728,1.32714
3.97828,1.32733
3.97928,1.32752
3.98028,1.32771
3.98128,1.3279
3.98228,1.32809
3.98328,1.32828
3.98428,1.32847
3.98528,1.32866
3.98628,1.32885
3.98728,1.32904
3.98828,1.32922
3.98928,1.32941
3.99028,1.3296
3.99128,1.32979
3.99228,1.32998
3.99328,1.33017
3.99428,1.33036
3.99528,1.33054
3.99628,1.33073
3.99728,1.33092
3.99828,1.33111
3.99928,1.3313
4.00028,1.33148
4.00128,1.33167
4.00228,1.33186
4.00328,1.33205
4.00428,1.33223
4.00528,1.33242
4.00628,1.33261
4.00728,1.3328
4.00828,1.33298
4.00928,1.33317
4.01028,1.33336
4.01128,1.33354
4.01228,1.33373
4.01328,1.33392
4.01428,1.3341
4.01528,1.33429
4.01628,1.33448
4.01728,1.33466
4.01828,1.33485
4.01928,1.33504
4.02028,1.33522
4.02128,1.33541
4.02228,1.3356
4.02328,1.33578
4.02428,1.33597
4.02528,1.33615
4.02628,1.33634
4.02728,1.33653
4.02828,1.33671
4.02928,1.3369
4.03028,1.33708
4.03128,1.33727
4.03228,1.33745
4.03328,1.33764
4.03428,1.33783
4.03528,1.33801
4.03628,1.3382
4.03728,1.33838
4.03828,1.33857
4.03928,1.33875
4.04028,1.33894
4.04128,1.33912
4.04228,1.33931
4.04328,1.33949
4.04428,1.33967
4.04528,1.33986
4.04628,1.34004
4.04728,1.34023
4.04828,1.34041
4.04928,1.3406
4.05028,1.34078
4.05128,1.34097
4.05228,1.34115
4.05328,1.34133
4.05428,1.34152
4.05528,1.3417
4.05628,1.34188
4.05728,1.34207
4.05828,1.34225
4.05928,1.34244
4.06028,1.34262
4.06128,1.3428
4.06228,1.34299
4.06328,1.34317
4.06428,1.34335
4.06528,1.34354
4.06628,1.34372
4.06728,1.3439
4.06828,1.34408
4.06928,1.34427
4.07028,1.34445
4.07128,1.34463
4.07228,1.34482
4.07328,1.345
4.07428,1.34518
4.07528,1.34536
4.07628,1.34555
4.07728,1.34573
4.07828,1.34591
4.07928,1.34609
4.08028,1.34627
4.08128,1.34646
4.08228,1.34664
4.08328,1.34682
4.08428,1.347
4.08528,1.34718
4.08628,1.34737
4.08728,1.34755
4.08828,1.34773
4.08928,1.34791
4.09028,1.34809
4.09128,1.34827
4.09228,1.34845
4.09328,1.34864
4.09428,1.34882
4.09528,1.349
4.09628,1.34918
4.09728,1.34936
4.09828,1.34954
4.09928,1.34972
4.10028,1.3499
4.10128,1.35008
4.10228,1.35026
4.10328,1.35044
4.10428,1.35062
4.10528,1.3508
4.10628,1.35098
4.10728,1.35117
4.10828,1.35135
4.10928,1.35153
4.11028,1.35171
4.11128,1.35189
4.11228,1.35207
4.11328,1.35225
4.11428,1.35243
4.11528,1.3526
